id,first_name,second_name,team,team_code,element_type,total_points,event_points,points_per_game,form,ep_this,ep_next,selected_by_percent,now_cost,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,value_form,value_season,transfers_in_event,transfers_in,transfers_out,transfers_out_event,in_dreamteam,creativity,special,ict_index,influence,creativity_rank_type,bonus,chance_of_playing_next_round,bps,threat_rank_type,ict_index_rank_type,influence_rank,threat,creativity_rank,chance_of_playing_this_round,threat_rank,ict_index_rank,dreamteam_count,influence_rank_type
8,Konstantinos,Mavropanos,1,3,2,0,0,0.0,0.0,0.0,0.0,0.0,43,-2,2,0,0,0.0,0.0,0,1185,5056,0,False,0.0,False,0.0,0.0,217,0,0,0,211,217,585,0.0,572,0,552,587,0,217
id,first_name,second_name,team,team_code,element_type,total_points,event_points,points_per_game,form,ep_this,ep_next,selected_by_percent,now_cost,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,value_form,value_season,transfers_in_event,transfers_in,transfers_out,transfers_out_event,in_dreamteam,creativity,special,ict_index,influence,creativity_rank_type,bonus,chance_of_playing_next_round,bps,threat_rank_type,ict_index_rank_type,influence_rank,threat,creativity_rank,chance_of_playing_this_round,threat_rank,ict_index_rank,dreamteam_count,influence_rank_type
9,Carl,Jenkinson,1,3,2,0,0,0.0,0.0,0.0,0.0,0.0,45,0,0,0,0,0.0,0.0,0,534,2720,0,False,0.0,False,0.0,0.0,218,0,0,0,214,218,599,0.0,590,0,575,602,0,218
id,first_name,second_name,team,team_code,element_type,total_points,event_points,points_per_game,form,ep_this,ep_next,selected_by_percent,now_cost,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,value_form,value_season,transfers_in_event,transfers_in,transfers_out,transfers_out_event,in_dreamteam,creativity,special,ict_index,influence,creativity_rank_type,bonus,chance_of_playing_next_round,bps,threat_rank_type,ict_index_rank_type,influence_rank,threat,creativity_rank,chance_of_playing_this_round,threat_rank,ict_index_rank,dreamteam_count,influence_rank_type
10,Rob,Holding,1,3,2,16,0,2.0,1.0,1.5,1.3,0.2,44,-1,1,0,0,0.2,3.6,0,28501,22667,0,False,4.8,False,15.8,133.6,164,2,100,96,145,150,355,19.0,441,100,396,407,0,138
id,first_name,second_name,team,team_code,element_type,total_points,event_points,points_per_game,form,ep_this,ep_next,selected_by_percent,now_cost,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,value_form,value_season,transfers_in_event,transfers_in,transfers_out,transfers_out_event,in_dreamteam,creativity,special,ict_index,influence,creativity_rank_type,bonus,chance_of_playing_next_round,bps,threat_rank_type,ict_index_rank_type,influence_rank,threat,creativity_rank,chance_of_playing_this_round,threat_rank,ict_index_rank,dreamteam_count,influence_rank_type
11,Pierre-Emerick,Aubameyang,1,3,4,205,16,5.7,5.2,5.7,5.7,22.4,109,-1,1,0,0,0.5,18.8,0,3870546,4120318,0,True,479.6,False,285.2,1006.0,5,37,100,807,7,5,9,1369.0,61,100,9,11,5,3
id,first_name,second_name,team,team_code,element_type,total_points,event_points,points_per_game,form,ep_this,ep_next,selected_by_percent,now_cost,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,value_form,value_season,transfers_in_event,transfers_in,transfers_out,transfers_out_event,in_dreamteam,creativity,special,ict_index,influence,creativity_rank_type,bonus,chance_of_playing_next_round,bps,threat_rank_type,ict_index_rank_type,influence_rank,threat,creativity_rank,chance_of_playing_this_round,threat_rank,ict_index_rank,dreamteam_count,influence_rank_type
12,Alexandre,Lacazette,1,3,4,118,4,3.9,5.5,6.0,5.5,2.4,92,-3,3,0,0,0.6,12.8,0,458912,551879,0,False,337.7,False,173.8,536.4,19,16,100,387,19,19,112,861.0,124,100,35,50,2,15
