id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
489,Reiss,Nelson,3,1,3,,2020-01-18T17:00:23.535651Z,,Nelson,200641.jpg,a,200641
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
490,Joseph,Willock,3,1,3,,2019-09-07T11:30:17.190466Z,,Willock,200089.jpg,a,200089
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
504,Gabriel Teodoro,Martinelli Silva,4,1,3,Knee injury - Expected back 31 Dec,2020-06-24T13:00:17.558412Z,,Martinelli,444145.jpg,i,444145
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
515,Kieran,Tierney,2,1,3,,2019-12-09T22:00:21.790216Z,,Tierney,192895.jpg,a,192895
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
541,Bukayo,Saka,3,1,3,,2020-02-02T17:00:24.409161Z,,Saka,223340.jpg,a,223340
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
576,Emile,Smith Rowe,3,1,3,Joined Huddersfield Town on loan until the end of the season on 10/1. - Expected back 01 Aug,2020-01-10T20:00:21.634861Z,,Smith Rowe,209289.jpg,n,209289
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
585,Tyreece,John-Jules,4,1,3,Joined Lincoln City on loan until the end of the season on 10/1. - Expected back 01 Aug,2020-01-16T10:30:19.626655Z,,John-Jules,232233.jpg,n,232233
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
617,Pablo,Marí,2,1,3,Ankle injury - Expected back 25 Sep,2020-06-17T22:00:17.468334Z,,Marí,92371.jpg,i,92371
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
636,Zech,Medley,2,1,3,,,,Medley,209037.jpg,a,209037
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
646,Matt,Macey,1,1,3,,,,Macey,113534.jpg,a,113534
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
647,Matthew,Smith,2,1,3,,,,Smith,232241.jpg,a,232241
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
22,Ahmed,El Mohamady,2,2,7,Hamstring injury - Unknown return date,2020-07-21T21:30:23.752198Z,,El Mohamady,37339.jpg,i,37339
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
23,James,Chester,2,2,7,Joined Stoke City on loan until the end of the season on 31/1. - Expected back 01 Aug,2020-01-31T15:00:12.372885Z,,Chester,43252.jpg,n,43252
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
24,Neil,Taylor,2,2,7,,2020-07-12T16:00:17.086537Z,,Taylor,47390.jpg,a,47390
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
25,Kortney,Hause,2,2,7,,2020-07-13T09:00:24.485275Z,,Hause,123354.jpg,a,123354
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
26,Jonathan,Kodjia,4,2,7,Joined Al-Gharafa on a permanent deal on 20/1.,2020-01-08T20:30:20.825750Z,,Kodjia,54764.jpg,u,54764
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
27,Ørjan,Nyland,1,2,7,,2019-07-30T15:00:08.973693Z,,Nyland,98770.jpg,a,98770
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
28,Conor,Hourihane,3,2,7,,2019-12-15T13:00:22.404997Z,,Hourihane,85242.jpg,a,85242
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
29,Jack,Grealish,3,2,7,,2019-10-26T18:30:22.524063Z,,Grealish,114283.jpg,a,114283
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
30,Anwar,El Ghazi,3,2,7,,2020-02-22T17:30:19.276253Z,,El Ghazi,193488.jpg,a,193488
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
31,John,McGinn,3,2,7,,2019-12-21T17:00:13.681907Z,,McGinn,122806.jpg,a,122806
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
32,Andre,Green,3,2,7,Joined Charlton Athletic on loan until the end of the season on 2/1. - Expected back 01 Aug,2019-08-04T16:30:15.274646Z,,Green,174597.jpg,n,174597
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
33,Birkir,Bjarnason,3,2,7,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,,Bjarnason,27770.jpg,u,27770
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
34,Keinan,Davis,3,2,7,,2020-02-03T23:00:14.489212Z,,Davis,221239.jpg,a,221239
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
35,Henri,Lansbury,3,2,7,,2019-11-08T18:00:15.526636Z,,Lansbury,40564.jpg,a,40564
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
36,José Ignacio,Peleteiro Romallo,3,2,7,,2019-10-17T13:00:14.384046Z,,Jota,89274.jpg,a,89274
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
94,Tom,Heaton,1,2,7,Knee injury - Unknown return date,2020-01-01T15:00:18.235936Z,,Heaton,21205.jpg,i,21205
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
120,Daniel,Drinkwater,3,2,7,Muscle injury - 75% chance of playing,2020-07-17T23:30:16.075983Z,,Drinkwater,61603.jpg,d,61603
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
309,Matt,Targett,2,2,7,,2020-06-27T15:30:23.724931Z,,Targett,169359.jpg,a,169359
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
428,Wesley,Moraes,4,2,7,Knee injury - Unknown return date,2020-01-01T15:00:18.798443Z,,Wesley,213345.jpg,i,213345
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
429,Jed,Steer,1,2,7,,2019-11-10T16:00:17.790777Z,,Steer,79852.jpg,a,79852
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
445,Tyrone,Mings,2,2,7,,2020-02-16T16:00:24.633178Z,,Mings,149484.jpg,a,149484
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
452,Ezri,Konsa Ngoyo,2,2,7,,2020-02-01T17:30:19.744514Z,,Konsa,199798.jpg,a,199798
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
455,Bjorn,Engels,2,2,7,Achilles injury - 75% chance of playing,2020-06-18T17:30:12.858071Z,,Engels,108156.jpg,d,108156
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
458,Frédéric,Guilbert,2,2,7,,2020-06-18T17:30:12.878185Z,,Guilbert,203368.jpg,a,203368
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
465,Mahmoud Ahmed,Ibrahim Hassan,3,2,7,,2019-08-31T16:30:09.941826Z,,Trézéguet,148508.jpg,a,148508
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
470,Douglas Luiz,Soares de Paulo,3,2,7,,,,Douglas Luiz,230046.jpg,a,230046
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
474,Lovre,Kalinic,1,2,7,Joined Toulouse on loan until the end of the season on 20/1. - Expected back 01 Aug,2020-01-20T17:00:23.372293Z,,Kalinic,88175.jpg,n,88175
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
491,Marvelous,Nakamba,3,2,7,,2020-01-18T19:30:18.468247Z,,Nakamba,184704.jpg,a,184704
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
600,Indiana,Vassilev,3,2,7,,,,Vassilev,223349.jpg,a,223349
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
603,José,Reina,1,2,7,,2020-07-11T10:00:24.675525Z,,Reina,8432.jpg,a,8432
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
613,Mbwana,Samatta,4,2,7,,,,Samatta,217487.jpg,a,217487
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
623,Borja,González Tomás,4,2,7,Contract with club expired on 30/6,2020-06-29T23:30:25.972633Z,,Bastón,83091.jpg,u,83091
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
659,Kaine,Hayden,3,2,7,,,,Hayden,490098.jpg,a,490098
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
58,Steve,Cook,2,3,91,,2020-07-04T16:30:17.479880Z,,Steve Cook,56917.jpg,a,56917
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
59,Nathan,Aké,2,3,91,,2020-07-12T20:30:23.871651Z,,Aké,126184.jpg,a,126184
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
60,Charlie,Daniels,2,3,91,Knee injury - Unknown return date,2019-08-25T15:30:14.994228Z,,Daniels,41320.jpg,i,41320
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
61,Chris,Mepham,2,3,91,Knee injury - Expected back 30 Aug,2020-07-04T16:30:17.502095Z,,Mepham,223911.jpg,i,223911
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
62,Simon,Francis,2,3,91,Knee injury - 75% chance of playing,2020-06-27T02:00:26.872803Z,,Francis,15149.jpg,d,15149
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
63,Adam,Smith,2,3,91,,2020-07-09T21:30:22.479198Z,,Adam Smith,54469.jpg,a,54469
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
64,Lloyd,Kelly,2,3,91,,2020-01-31T01:00:23.162332Z,,Kelly,235530.jpg,a,235530
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
65,Diego,Rico,2,3,91,,2019-12-21T17:00:13.810253Z,,Rico,171129.jpg,a,171129
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
66,Jack,Simpson,2,3,91,,2020-07-04T20:30:24.841988Z,,Simpson,222434.jpg,a,222434
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
67,Callum,Wilson,4,3,91,,2020-06-24T19:00:18.390083Z,,Callum Wilson,75115.jpg,a,75115
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
68,Joshua,King,4,3,91,,2020-07-12T18:00:21.125542Z,,King,78007.jpg,a,78007
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
69,Dominic,Solanke,4,3,91,,2019-11-24T12:00:21.142150Z,,Solanke,154566.jpg,a,154566
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
71,Sam,Surridge,4,3,91,,2019-08-07T20:00:14.104634Z,,Surridge,217331.jpg,a,217331
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
72,Asmir,Begovic,1,3,91,Joined AC Milan on loan until the end of the season on 13/1. - Expected back 01 Aug,2020-01-13T20:30:12.943407Z,,Begovic,40349.jpg,n,40349
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
73,Artur,Boruc,1,3,91,,,,Boruc,18726.jpg,a,18726
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
74,Mark,Travers,1,3,91,,,,Travers,229600.jpg,a,229600
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
75,Ryan,Fraser,3,3,91,Contract with club expired on 30/6,2020-06-25T16:00:21.406499Z,,Fraser,90105.jpg,u,90105
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
76,David,Brooks,3,3,91,,2020-07-09T22:00:23.448024Z,,Brooks,111317.jpg,a,111317
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
77,Junior,Stanislas,3,3,91,,2020-01-12T20:00:12.983134Z,,Stanislas,56872.jpg,a,56872
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
